5b2dcd2f-bd36-3342-8dee-04fe317c2e87	Die Entführung aus dem Serail	Film
fd124622-c89b-3fee-bee1-f4bbc5fee2a9	Die üblichen Verdächtigen	Film
f5e539ce-a10d-338b-8cb7-cd6586277fc3	Kino-Center	Cinema
dd948288-d7f6-3dcf-beb6-938bda096516	The Dream Palace	Film
(50.4998305,12.1365103)	Plauen	City
c60a90c2-3c83-3181-8d7a-b40f8da59510	Arrhythmia	Film
bd872567-a675-37a6-b63d-cc80002bf99c	Brandon McKnight	Person
5fd2f21a-d607-3956-a3f6-41f1fe7a81f1	Star Wars	Film
(49.761691,9.510742)	Wertheim (Main)	City
397d6cf6-4df5-3169-b3bc-7dfaec253a7b	Amy Schumer	Person
6a4f665a-93cf-3cfa-9316-d73ed4ec1190	Lennie Weinrib	Person
4f5609dc-0530-305d-8154-6dadc19ddfe3	Jonah Rausch	Person
925b598f-ff86-30e1-a366-ac46f77f8411	Evgeny Akimov	Person
ea3fe719-d5f2-3ea8-8379-079c03181fc1	Bernardo Cubria	Person
e9d39e97-a1f8-35e2-b77b-1efe6a659bf9	Filmkunst 66	Cinema
39f8a716-fb71-33f3-9535-e129de6e84c6	Markus Goller	Person
(51.3560277,11.9928592984444)	Merseburg	City
c57be42c-984f-3c98-b5fb-928ce7d395f9	Luis Valdez	Person
af742e70-f616-3dea-b4a1-b726b4b79e2a	Frank Zappa - Eat That Question	Film
cd6dc3e2-7325-3219-927b-e78b673d8628	Das kalte Herz	Film
(48.17304,11.55255)	München	City
7e44664f-f63c-30b7-83be-b4753d46cf38	Taylor Sheridan	Person
87adb292-df72-307f-9051-7b142f294459	Richard Wagner: Tannhäuser	Film
416c531e-94f2-3ae5-883a-fc1d5aa8098d	Quentin Tarantino	Person
db5be755-7814-34b8-9791-2cb0786f78f7	Laura Lackmann	Person
0d622796-50c3-3001-81cf-008a4c46c92e	Taunus Kinocenter	Cinema
c388b37b-9086-35de-a816-70f5c6fd37c0	Tarina Pouncy	Person
432a5074-8d07-3662-96c1-a9f3b5c9aefb	Central	Cinema
340b56ee-dea9-3626-9dca-0f85781a924a	Bille August	Person
e204bbff-2ffd-39ce-b009-f3f5277af531	Spy	Film
ff528535-3183-3cb1-84c7-adb0ba885a28	The Making of 'Phoenix'	Film
62e26c4f-cefd-3a3e-ae65-061a149f36c7	Nicolas Wackerbarth	Person
aefbcc44-ba05-356e-88ab-75983df99df7	Sommer der Gaukler	Film
